caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
858,2,51,50,51,50,100,3,84,2,99,52,22,21,51,1,5,9,9,7,4,5,5,5,3,5,4,4,5
859,89,91,87,50,78,0,56,998,57,41,52,52,77,98,1,4,10,1,2,5,5,5,5,5,5,5,5,4
860,91,53,46,53,54,3,84,8,97,41,82,54,56,65,1,3,11,9,2,5,5,5,5,5,5,5,5,2
861,92,93,50,51,50,5,100,9,51,31,50,14,32,85,1,1,11,1,1,3,3,3,3,3,3,3,3,3
862,97,95,90,89,85,55,88,6,97,91,80,73,91,86,1,3,7,9,2,5,3,5,5,4,3,4,4,2
863,75,74,73,75,79,3,47,4,88,67,97,73,76,97,2,3,11,9,2,5,5,5,5,5,5,5,5,3
864,96,100,100,100,98,6,92,50,90,78,49,99,88,90,1,3,11,9,2,5,5,5,5,4,4,4,4,4
865,70,90,89,79,61,50,61,43,50,70,61,50,49,90,1,5,11,9,3,5,5,5,5,5,5,5,5,3
866,21,60,78,77,39,8,36,51,50,78,31,18,44,87,2,5,2,9,7,5,5,5,5,4,4,4,4,5
867,25,13,85,11,53,60,49,6,26,1,67,44,4,73,2,1,9,9,6,1,5,2,3,1,5,1,1,4
868,74,82,68,80,92,1,4,15,56,68,99,91,92,94,1,5,8,1,3,4,3,5,5,4,3,5,4,2
869,3,58,89,66,90,78,13,0,57,78,21,90,65,91,1,4,9,2,6,3,3,4,5,3,3,3,3,3
870,26,85,85,85,85,5,5,25,80,45,75,30,30,90,1,3,7,9,6,5,5,5,5,3,4,4,3,3
871,59,17,22,40,43,2,36,35,34,42,24,32,24,38,2,1,11,1,3,2,1,3,2,3,2,3,2,3
872,55,55,95,41,51,65,31,65,54,56,6,31,41,81,2,5,1,4,3,2,1,4,3,1,4,3,2,2
873,90,90,89,91,88,0,62,30,100,94,93,94,85,90,1,3,11,1,2,5,5,5,5,5,5,5,5,2
874,100,61,41,16,100,0,70,53,50,55,51,85,4,97,1,1,11,1,1,4,4,4,4,2,2,1,1,3
875,2,75,50,74,26,93,0,75,13,64,14,15,30,71,1,5,9,9,7,4,5,4,4,4,5,5,3,3
876,31,41,41,39,94,0,6,8,100,35,40,91,27,85,1,3,11,3,6,2,3,4,5,2,2,3,1,3
877,85,100,99,100,100,2,89,6,90,50,91,100,100,99,1,1,6,1,2,5,5,5,5,5,5,5,5,3
878,15,85,85,76,71,21,44,57,25,85,60,50,40,89,1,5,4,4,6,5,5,5,5,4,5,5,4,4
879,53,54,56,54,54,74,19,54,61,90,53,52,54,53,1,3,7,9,4,5,3,5,5,4,4,4,4,3
880,97,89,51,90,96,0,85,10,83,39,98,93,87,96,1,1,6,9,2,5,5,5,5,5,5,5,5,2
881,57,88,61,97,88,0,70,3,52,69,68,92,70,89,1,2,6,1,5,3,3,4,3,3,4,4,4,4
882,60,49,72,42,100,2,61,20,78,63,100,21,2,61,1,3,5,9,3,3,3,3,3,3,3,3,3,3
883,97,92,91,100,100,0,88,0,80,87,100,100,94,100,1,1,1,9,2,5,4,5,5,4,3,4,4,2
884,93,77,62,71,84,1,64,6,90,23,91,87,73,79,1,3,11,1,2,4,3,4,4,4,3,4,4,2
885,5,99,91,94,99,99,1,0,100,98,50,98,48,51,1,3,9,2,7,2,5,5,5,3,3,3,3,3
886,1,11,95,66,50,100,6,1,81,86,31,50,1,70,1,3,9,9,7,1,4,3,2,1,5,2,1,5
887,52,61,59,60,50,41,30,21,998,55,52,51,41,65,2,5,9,2,7,4,4,5,4,5,5,5,5,3
888,30,40,70,41,50,55,46,30,46,60,50,50,36,50,1,1,9,2,6,2,4,3,4,1,3,2,3,4
889,0,81,85,81,50,100,0,50,41,100,50,0,35,80,1,3,9,2,7,4,4,4,4,3,4,4,3,3
890,89,45,89,72,87,20,60,5,66,56,30,50,36,100,1,1,6,9,2,5,5,5,5,4,4,5,3,2
891,90,91,73,95,94,4,75,2,95,86,86,94,88,99,1,3,10,9,2,4,3,4,4,3,3,3,3,3
892,99,79,100,99,3,3,98,1,100,98,30,2,38,30,1,1,1,1,1,2,5,5,2,1,3,2,1,1
893,90,89,90,86,90,26,31,20,100,65,60,86,64,80,1,3,6,9,3,5,5,5,5,5,5,5,5,3
894,1,60,99,61,50,71,0,60,4,99,16,17,4,69,1,5,9,9,7,3,4,3,3,2,4,3,1,4
895,4,59,66,84,52,84,0,39,52,59,17,51,43,55,1,3,5,2,7,2,3,3,3,2,4,3,3,4
896,84,56,50,50,64,6,70,11,97,81,50,76,56,69,1,3,1,9,2,4,1,4,4,3,2,4,3,1
897,86,64,81,67,75,0,27,0,100,100,80,49,73,100,1,3,6,9,2,3,3,5,5,3,2,4,3,4
898,3,50,50,50,50,80,17,91,5,89,31,50,45,66,1,2,8,2,7,3,4,3,5,3,5,5,2,3
899,95,68,69,63,52,1,73,44,71,66,50,53,50,76,1,2,8,9,1,4,5,5,5,5,5,5,5,2
900,86,75,50,50,50,31,70,16,91,50,50,51,65,85,1,3,11,9,2,2,2,2,2,2,2,2,2,2
901,82,71,52,63,82,1,41,3,100,59,74,69,59,85,1,3,7,9,2,3,3,5,5,4,3,4,4,3
902,72,50,50,50,50,18,19,16,85,21,30,50,50,99,1,3,1,9,3,5,5,5,5,5,5,5,5,1
903,100,100,97,93,3,72,1,100,1,63,1,3,8,56,1,5,4,9,7,1,1,1,1,1,1,1,1,3
904,76,96,52,100,94,1,70,2,98,4,94,94,89,90,1,3,11,9,2,4,4,4,4,4,2,4,4,3
905,21,99,99,100,100,100,51,6,3,61,51,99,52,72,2,5,9,9,4,3,3,3,3,3,3,3,3,5
906,46,79,82,78,85,5,61,1,59,50,71,79,85,75,2,5,11,4,1,4,4,4,4,4,4,4,4,1
907,1,50,50,50,42,75,11,70,15,99,42,40,31,85,1,2,3,9,7,4,5,5,5,4,5,5,3,3
908,64,100,100,100,100,0,84,50,51,52,100,100,50,100,2,1,11,9,3,5,5,5,5,5,5,5,5,3
909,4,50,51,50,51,72,3,90,30,59,1,10,53,50,1,5,4,2,7,2,2,2,3,3,3,3,3,4
910,87,84,0,50,100,0,15,22,100,51,51,98,31,89,2,3,11,9,2,3,4,3,5,3,3,3,3,2
911,39,71,70,62,71,70,20,998,90,90,63,71,70,76,2,3,9,9,6,2,2,2,2,2,2,2,2,4
912,96,100,100,100,20,40,99,10,96,90,51,16,99,100,1,1,6,1,2,5,5,5,5,5,5,5,5,4
913,1,70,60,30,12,94,2,91,19,90,4,2,2,54,1,4,4,9,7,3,3,3,3,3,3,3,1,4
914,63,60,71,38,67,28,13,67,99,38,88,41,34,72,1,2,4,2,4,2,2,3,4,2,3,3,2,2
915,54,9,66,27,20,92,47,9,22,75,23,7,3,65,1,5,9,9,5,2,4,3,2,2,5,3,1,4
916,5,80,99,51,51,41,12,72,3,96,78,50,53,87,1,2,5,2,7,4,5,5,5,3,5,5,4,4
917,22,50,51,50,49,90,9,50,52,100,12,56,51,50,1,5,9,9,4,4,4,4,4,2,4,4,3,3
918,64,100,100,100,88,0,51,12,100,30,100,100,53,100,1,3,1,9,3,4,4,5,5,4,3,5,5,3
919,2,53,50,53,56,45,1,97,29,99,1,48,0,91,1,5,4,9,7,3,3,4,3,4,5,5,3,5
920,100,100,50,50,98,0,94,1,90,30,88,99,50,50,2,3,11,9,1,5,2,5,5,5,3,5,3,3
921,31,49,71,65,22,6,9,58,77,56,21,40,16,68,1,3,4,9,5,1,1,3,3,1,1,3,3,4
922,3,69,83,78,61,67,1,95,54,88,15,59,51,42,1,3,4,9,7,4,5,5,4,4,5,5,3,5
923,72,37,8,22,44,2,13,4,26,12,29,25,18,19,1,3,9,9,2,4,4,5,5,4,2,4,4,3
924,86,71,81,87,56,0,42,42,100,100,40,66,70,96,1,3,11,9,1,4,5,5,5,4,4,5,4,1
925,72,73,42,31,19,12,89,68,68,50,57,31,26,53,3,1,4,9,3,4,4,4,4,3,3,3,4,3
926,94,52,50,52,51,0,38,51,87,27,51,52,53,75,1,3,11,9,2,5,5,5,5,5,5,5,5,3
927,100,100,49,10,76,1,77,2,99,3,51,79,78,92,1,2,11,9,1,5,3,5,5,4,1,2,4,1
928,0,58,61,67,12,84,0,83,26,92,46,33,20,69,1,3,9,9,7,2,4,5,4,2,5,4,1,3
929,79,66,64,60,16,93,38,88,39,55,5,9,27,81,1,2,9,2,4,2,4,3,1,3,4,3,1,2
930,88,81,86,100,22,9,100,70,43,99,100,49,10,50,1,1,4,9,2,4,4,4,4,4,4,4,1,2
931,98,96,49,2,98,5,55,5,87,6,12,50,71,80,1,5,11,9,2,5,5,5,5,4,1,4,3,3
932,44,68,60,998,998,3,61,25,71,65,998,998,998,45,3,3,1,1,5,4,4,5,5,5,5,5,5,3
933,68,77,41,81,94,3,55,41,64,78,84,95,76,94,1,3,11,9,3,5,5,5,5,5,5,5,5,5
934,100,100,65,97,69,0,100,10,11,5,45,36,53,5,1,1,11,9,1,5,5,5,5,5,5,5,5,5
935,83,39,41,58,0,0,0,1,100,27,21,61,41,60,2,3,11,4,4,5,5,5,5,4,4,4,4,3
936,0,50,89,61,50,90,0,50,31,90,50,3,15,61,1,5,9,2,7,4,4,4,4,3,3,3,2,3
937,55,50,50,50,50,5,10,0,90,30,48,55,50,90,1,3,8,1,3,4,4,5,5,5,5,5,5,3
938,1,80,85,85,15,95,30,90,15,100,10,1,1,70,1,2,9,2,7,4,5,5,5,4,5,5,1,3
939,88,50,36,64,73,3,15,55,94,41,67,91,51,62,2,5,11,4,2,4,2,3,5,1,3,2,1,3
