caseid,ftobama,ftblack,ftwhite,fthisp,ftgay,fttrump,fthrc,ftcruz,ftsanders,ftpolice,ftfem,fttrans,ftmuslim,ftsci,reg,demcand,repcand,vote16dt,presjob,lazyb,lazyw,lazyh,lazym,violentb,violentw,violenth,violentm,econnow
1031,86,90,90,90,100,0,70,31,100,40,79,100,90,82,1,3,11,9,2,4,4,4,4,4,4,4,4,2
1032,60,51,51,50,69,17,49,51,50,63,50,49,31,54,2,5,11,4,3,5,3,5,5,4,4,4,4,2
1033,55,90,99,50,99,41,76,50,50,96,71,90,51,100,1,2,2,9,5,5,5,5,5,5,5,5,5,3
1034,60,50,58,92,69,25,48,56,30,57,62,42,38,45,1,1,4,9,4,5,5,5,5,5,5,5,5,4
1035,12,51,50,53,50,91,1,78,43,51,40,51,40,31,1,5,9,9,7,4,4,5,4,4,4,4,4,4
1036,4,49,88,60,54,97,6,63,7,93,22,36,22,69,1,2,9,9,7,2,5,5,4,3,5,5,3,4
1037,85,78,47,83,50,2,76,48,50,74,47,4,18,50,2,1,1,1,4,4,1,5,3,3,2,3,2,3
1038,31,97,91,97,93,2,0,50,62,89,51,92,68,52,1,3,6,4,6,5,5,5,5,3,3,3,3,2
1039,2,63,71,100,94,100,6,7,3,98,5,96,8,52,1,4,9,9,7,3,4,2,4,3,3,4,3,5
1040,41,100,85,100,1,1,30,50,96,50,40,1,80,70,1,3,11,1,5,5,5,5,5,3,3,3,3,3
1041,42,50,50,50,50,4,3,0,100,41,46,50,50,89,1,3,6,3,6,3,3,3,3,1,1,1,1,3
1042,96,70,60,69,80,3,89,2,60,48,78,78,82,97,1,1,1,9,1,5,5,5,5,5,5,5,5,2
1043,72,72,85,77,94,72,75,78,85,87,72,82,77,92,1,1,4,9,1,1,2,2,2,1,1,2,2,1
1044,75,47,84,54,44,57,75,44,66,65,50,44,45,92,1,3,1,1,2,3,5,3,4,3,4,3,3,3
1045,51,80,80,80,0,90,56,46,50,80,41,0,41,60,1,1,9,9,5,5,5,5,5,4,4,4,3,3
1046,99,83,98,96,89,1,99,38,97,84,76,75,64,94,1,1,7,1,1,3,5,5,3,2,3,3,1,2
1047,4,46,60,90,31,60,41,50,46,90,10,11,89,86,2,5,9,2,7,1,2,5,2,4,4,4,4,2
1048,100,50,50,37,63,59,28,44,52,40,42,41,15,72,1,5,9,2,1,3,4,5,2,2,2,5,1,2
1049,99,99,40,99,53,1,20,2,79,41,50,49,52,100,1,3,10,9,1,3,2,5,5,5,2,5,5,3
1050,27,56,84,51,54,89,41,51,19,84,30,52,43,87,1,5,9,9,4,3,3,5,5,3,3,3,5,3
1051,71,90,87,87,87,0,67,0,96,16,86,87,86,95,1,3,11,9,2,5,5,5,5,5,5,5,5,3
1052,100,90,40,60,95,1,89,1,100,40,99,90,89,80,1,3,11,1,1,5,4,5,5,2,2,2,4,1
1053,91,82,98,86,99,0,22,11,92,30,98,98,58,53,1,3,10,9,2,4,3,4,4,4,4,4,4,3
1054,3,100,31,100,100,0,0,0,100,73,25,100,100,100,1,3,11,9,5,5,2,5,5,5,2,5,5,2
1055,5,46,99,30,2,53,0,33,40,74,32,2,0,75,1,5,1,2,7,2,5,2,1,1,5,1,1,5
1056,44,66,73,71,51,32,40,66,55,89,56,29,60,89,1,5,4,4,5,4,4,5,5,4,5,5,5,4
1057,0,46,66,62,64,2,13,57,55,53,44,58,998,67,1,3,8,2,7,3,4,5,3,3,4,4,2,4
1058,1,4,16,15,0,100,1,14,8,31,0,0,1,57,3,5,9,2,7,1,4,4,1,1,3,3,1,4
1059,21,90,100,85,100,35,0,50,50,31,36,90,70,50,2,5,7,3,7,5,5,5,5,4,4,4,4,5
1060,62,72,72,71,69,10,15,56,93,66,69,59,50,72,2,3,4,9,3,3,3,5,5,5,5,5,3,4
1061,100,100,50,100,100,1,69,41,100,31,100,100,100,100,1,3,4,1,1,5,1,5,5,4,1,4,4,1
1062,54,99,90,95,91,99,100,97,96,99,91,83,94,100,1,3,9,9,2,5,5,5,5,5,5,5,5,3
1063,58,51,53,32,49,3,56,16,16,76,50,53,23,86,2,5,11,9,3,3,4,5,5,3,4,4,3,2
1064,20,94,99,89,50,100,8,67,50,100,34,56,82,84,1,3,9,9,6,4,4,4,4,8,8,8,8,4
1065,44,85,80,86,96,0,55,50,81,95,50,85,29,71,1,3,2,9,4,4,4,4,4,4,4,4,4,4
1066,100,80,82,86,100,998,36,998,100,43,88,100,100,97,1,3,11,3,1,4,4,5,5,3,3,3,4,5
1067,30,72,62,52,78,59,19,44,40,87,66,73,60,73,2,3,1,2,6,4,4,4,5,4,5,5,4,2
1068,98,99,25,1,0,2,100,11,5,3,99,6,5,99,1,1,11,9,1,3,1,3,2,2,1,1,1,3
1069,85,80,76,72,94,0,30,50,91,89,78,85,40,85,1,3,1,9,2,3,3,4,3,2,2,3,3,2
1070,88,97,96,99,2,36,80,64,33,94,54,82,86,95,1,1,2,9,2,1,1,1,1,1,1,1,1,1
1071,14,33,94,9,1,96,2,90,35,68,13,3,7,66,1,3,9,2,7,2,4,1,3,2,4,3,1,5
1072,50,50,48,52,99,51,50,50,52,50,53,51,50,48,2,5,11,9,4,3,3,3,3,3,3,3,3,3
1073,0,69,69,50,61,0,0,84,9,76,31,31,31,61,1,5,2,2,7,4,4,5,5,3,3,4,3,3
1074,34,50,51,50,50,17,5,69,60,70,41,50,42,52,1,5,6,3,6,5,5,5,5,3,3,3,3,3
1075,10,50,50,66,50,40,0,70,0,85,31,31,30,50,1,5,2,2,7,5,5,5,5,5,5,5,3,5
1076,1,65,74,24,12,74,1,20,21,61,12,49,1,20,1,5,9,2,7,4,4,5,5,3,5,3,1,5
1077,47,50,50,50,50,41,47,50,54,50,47,50,46,61,1,3,3,9,5,5,5,5,5,5,5,5,5,2
1078,63,63,61,56,100,0,60,0,100,53,72,99,59,100,1,3,11,9,3,5,5,5,5,5,5,5,5,3
1079,0,86,87,0,0,91,0,50,50,50,50,0,0,72,1,5,9,2,7,3,3,1,1,3,4,1,1,5
1080,41,84,94,71,99,28,51,31,57,86,45,94,38,71,2,5,11,4,4,3,4,3,3,3,3,3,2,4
1081,60,54,57,55,55,56,65,47,55,67,42,60,59,38,3,1,10,9,3,2,2,2,2,3,3,3,3,2
1082,90,85,85,85,85,0,79,15,95,30,75,85,85,90,1,3,3,9,1,5,5,5,5,4,3,3,4,2
1083,20,66,100,77,60,100,59,31,49,90,51,62,28,78,1,3,9,9,6,1,4,5,4,2,4,4,2,4
1084,30,100,100,100,67,40,2,50,40,100,2,51,50,100,1,3,3,4,6,5,5,5,5,5,5,5,5,4
1085,17,82,42,79,70,72,31,54,57,54,70,97,67,42,2,1,9,9,6,2,3,3,2,2,3,2,2,4
1086,0,100,100,100,50,84,0,70,40,75,40,0,88,95,2,3,9,9,7,3,3,5,5,1,1,1,1,3
1087,81,51,50,51,50,17,40,3,98,8,27,44,22,99,2,3,6,9,2,3,3,3,3,2,2,2,2,3
1088,84,100,63,100,100,10,72,25,88,54,98,100,100,98,1,3,11,9,2,5,5,5,5,5,5,5,5,2
1089,70,30,70,45,25,12,76,25,39,56,65,20,10,56,1,1,11,9,3,5,4,5,5,3,4,4,3,3
1090,69,4,51,29,3,3,73,19,12,51,10,29,70,80,2,1,10,1,2,3,3,3,3,4,3,5,3,4
1091,87,76,65,99,94,90,99,86,85,90,85,92,95,20,1,1,9,2,1,2,2,2,2,2,2,2,2,3
1092,100,89,88,100,99,91,90,48,43,100,70,99,80,100,2,1,8,1,2,4,5,5,5,4,5,4,5,2
1093,73,61,50,74,60,100,70,22,40,60,71,62,30,60,2,1,9,2,2,3,3,3,2,2,3,3,2,2
1094,92,89,36,87,73,0,26,50,100,32,91,76,85,59,1,3,11,1,2,5,1,5,5,4,2,3,5,2
1095,100,90,70,86,60,7,100,9,76,80,60,41,11,100,1,1,8,1,1,1,1,1,3,3,3,3,1,1
1096,60,81,99,50,22,75,55,51,50,60,70,16,3,85,1,3,9,9,3,2,3,4,4,3,3,3,3,2
1097,75,91,94,96,53,62,24,2,96,77,72,43,31,98,1,3,9,2,3,5,5,5,5,5,5,5,5,3
1098,0,53,87,53,0,0,0,66,998,85,10,0,2,58,1,5,7,9,7,3,3,3,4,4,4,4,1,4
1099,100,86,86,69,69,7,99,49,52,100,72,52,81,68,2,1,1,9,2,5,5,5,5,5,5,5,5,1
1100,77,57,47,59,89,51,52,60,46,55,43,47,53,47,1,1,9,9,3,2,4,1,3,2,1,1,3,5
1101,53,72,69,57,49,6,72,28,57,78,94,52,27,98,2,1,2,9,2,4,4,4,5,4,4,4,3,2
1102,6,7,7,70,6,76,16,32,4,81,49,3,4,3,2,5,8,9,3,1,3,2,2,1,3,2,1,3
1103,99,4,50,67,52,4,100,9,51,70,99,49,4,64,2,1,11,4,1,1,4,3,3,1,3,3,1,1
1104,1,91,100,84,16,97,21,88,5,100,93,9,19,100,1,5,9,2,7,1,4,5,4,1,3,3,1,5
1105,3,69,91,50,53,66,1,77,3,72,4,18,47,71,1,4,8,9,7,4,4,4,4,5,5,4,4,4
1106,90,64,73,93,52,4,66,51,51,89,73,39,64,80,1,1,2,1,2,4,4,5,5,4,4,4,4,2
1107,38,53,52,51,97,45,64,21,49,100,99,99,55,70,1,1,11,9,5,5,5,5,5,5,5,5,5,4
1108,1,35,99,39,98,11,3,52,50,100,2,98,31,69,1,5,11,9,7,2,3,3,4,3,4,3,3,5
1109,85,96,97,99,51,16,97,8,97,79,85,6,54,96,1,1,11,9,2,4,4,5,5,2,3,4,4,2
1110,91,94,84,96,90,21,99,63,64,78,32,77,54,86,2,1,1,9,1,3,3,3,4,2,2,2,2,4
1111,3,27,65,1,2,7,6,46,3,86,41,1,1,99,3,2,3,9,7,4,2,4,3,1,4,4,2,4
1112,17,100,99,100,100,99,7,99,98,99,19,100,100,51,1,3,4,2,6,4,3,5,5,5,5,5,5,5
1113,83,88,75,79,89,1,55,14,96,49,87,87,77,100,1,3,6,9,2,5,5,5,5,5,5,5,5,2
1114,85,85,85,85,80,0,100,0,90,40,30,70,90,100,1,1,11,1,2,5,5,5,5,4,4,4,5,2
1115,81,89,84,88,92,0,36,0,92,9,90,82,82,94,1,3,11,1,2,5,5,5,5,5,5,5,5,2
1116,31,57,73,16,41,80,59,31,30,60,26,49,26,41,3,5,9,9,6,3,5,3,2,4,5,4,3,4
1117,5,47,100,32,40,85,3,100,51,100,100,50,3,100,1,5,4,9,7,2,4,5,4,4,4,4,1,4
1118,6,51,61,50,50,13,11,30,90,91,51,10,50,79,1,3,1,9,7,4,5,4,5,4,5,4,5,4
1119,56,50,50,50,50,50,50,50,50,50,50,50,50,50,2,5,11,4,7,1,1,1,1,5,5,5,5,5
1120,1,98,94,95,98,85,0,17,87,73,96,95,50,94,1,3,9,2,1,4,4,4,5,3,3,4,1,4
1121,51,52,53,52,51,50,32,49,51,50,51,50,50,50,1,5,11,4,4,5,5,5,5,5,5,5,5,3
1122,17,85,88,84,90,91,12,52,55,84,88,87,10,94,2,5,9,2,6,3,4,3,3,3,3,3,1,3
1123,0,60,65,55,35,0,0,0,0,41,40,16,45,50,1,5,7,3,7,4,5,5,5,4,5,4,3,3
1124,79,98,90,98,97,1,90,3,89,72,90,95,80,100,1,1,11,9,2,4,4,4,4,4,4,4,4,2
1125,90,63,77,68,80,6,94,6,64,62,77,59,70,81,3,1,11,9,4,5,4,5,5,5,3,5,5,3
1126,100,71,70,71,51,0,61,0,85,60,90,51,50,75,1,3,6,1,1,5,5,5,5,5,5,5,5,3
1127,91,91,58,84,93,2,58,0,68,53,59,90,91,88,1,1,6,1,2,5,4,5,5,4,3,5,5,2
1128,0,71,100,65,60,60,0,75,0,40,51,51,51,90,1,5,4,2,7,5,5,5,5,5,5,5,3,4
1129,85,84,80,84,100,0,76,0,89,90,70,94,70,100,1,3,1,9,2,5,5,5,5,4,4,5,4,3
1130,100,89,76,1,79,0,100,1,2,0,100,69,1,40,1,1,11,9,1,4,5,5,5,2,1,4,4,4
1131,87,54,44,52,35,27,64,48,72,44,58,58,100,60,1,1,2,9,2,4,4,4,4,4,4,4,4,2
1132,43,86,89,84,86,58,55,50,52,98,91,78,72,100,3,4,9,9,5,4,2,4,5,3,3,3,3,4
1133,12,16,63,24,16,64,1,59,7,62,35,16,1,62,1,5,9,9,7,1,5,3,2,2,4,2,1,4
1134,71,80,57,82,100,0,61,11,97,34,100,100,87,83,1,3,7,9,2,5,5,5,5,5,4,5,5,2
1135,64,53,86,69,41,66,78,55,64,88,89,50,44,65,2,1,5,1,5,1,4,3,3,3,2,3,4,2
1136,73,100,100,100,100,6,22,34,32,75,51,100,100,70,3,5,11,9,4,3,3,3,3,3,4,3,3,3
1137,93,50,52,50,73,5,18,16,95,84,13,84,53,87,1,3,2,9,1,3,4,4,4,3,3,3,3,1
1138,31,62,99,99,100,5,5,75,60,100,2,79,52,99,1,5,4,4,5,4,4,5,5,4,4,5,4,3
1139,12,56,50,59,43,14,12,10,24,90,29,43,17,80,2,5,11,9,6,3,3,3,3,3,3,3,3,3
1140,2,40,71,46,51,64,1,88,63,89,28,47,44,69,1,3,8,9,6,2,4,3,3,2,4,3,2,4
1141,0,27,100,22,50,100,0,70,0,86,100,10,25,100,1,5,9,2,7,1,4,3,3,3,5,3,3,3
1142,94,50,50,50,100,4,94,1,45,66,59,75,45,75,1,1,6,9,2,4,4,4,4,3,3,4,3,2
1143,35,28,97,33,11,6,24,5,61,38,25,7,3,12,1,4,11,9,6,1,3,5,3,1,4,4,1,2
1144,59,98,100,89,88,2,11,15,5,100,15,2,13,69,3,5,11,9,3,5,5,5,5,5,5,5,5,4
1145,77,35,42,32,89,9,84,30,29,45,61,57,33,33,1,1,11,9,2,2,2,2,3,4,4,4,4,3
1146,9,13,91,45,99,56,35,52,37,11,80,75,53,66,1,5,9,9,6,1,5,4,2,3,4,4,3,3
1147,19,99,96,99,99,90,6,70,82,100,96,85,90,98,1,5,11,9,6,4,4,4,4,4,4,4,4,3
1148,81,94,4,69,47,1,65,31,5,3,79,2,76,76,1,3,11,1,2,5,3,5,5,3,1,3,3,3
1149,33,73,85,72,54,42,52,99,5,76,47,50,32,82,1,5,4,9,6,1,4,4,4,4,3,4,1,3
1150,3,86,51,81,98,6,91,9,87,11,90,91,81,90,1,1,11,1,2,4,3,4,4,5,4,5,5,2
1151,11,9,89,86,2,68,38,66,99,99,29,18,70,77,1,3,9,9,7,2,4,5,5,2,3,5,2,2
1152,50,55,63,97,37,23,49,36,48,69,68,51,40,71,1,5,11,9,6,3,4,4,3,2,4,4,2,3
1153,66,97,78,74,73,0,54,0,100,31,63,100,89,100,1,3,7,9,3,5,4,5,5,5,5,5,5,2
1154,4,72,72,77,75,5,3,61,6,85,66,51,66,85,1,3,8,9,7,4,4,5,5,3,3,5,3,5
1155,100,100,92,98,100,3,94,28,98,70,100,100,100,99,1,1,11,9,2,5,5,5,5,5,3,5,5,2
1156,78,94,100,100,98,100,96,100,96,91,100,100,100,95,1,1,2,9,1,1,2,2,1,1,1,1,2,4
1157,95,84,85,84,96,75,84,51,65,94,70,80,80,97,1,1,9,2,1,4,4,4,4,3,2,3,2,4
1158,90,65,50,80,72,1,58,34,74,42,89,70,65,63,3,3,11,9,2,4,4,4,4,4,4,4,4,2
1159,18,68,71,60,67,30,16,33,35,83,53,66,59,48,1,5,7,3,6,3,3,4,4,4,4,4,4,3
1160,41,55,49,53,53,47,51,51,53,53,52,48,50,53,1,5,11,4,6,5,5,5,5,5,5,5,5,3
1161,36,54,71,72,82,34,27,65,53,98,49,71,55,81,1,3,8,4,6,4,4,5,5,4,4,5,4,3
1162,6,998,42,99,68,69,51,56,998,96,51,76,1,86,1,5,1,3,7,8,8,8,8,3,8,8,2,5
1163,4,74,69,85,2,55,2,69,1,6,81,4,59,49,1,5,1,9,7,3,2,2,4,3,4,5,3,5
1164,99,90,70,91,100,0,57,0,100,60,100,99,90,95,1,3,11,1,1,4,4,5,5,5,4,5,5,1
1165,88,99,99,99,89,0,80,58,96,95,100,99,99,87,1,3,6,1,2,4,4,4,4,5,5,5,5,3
1166,35,50,49,51,51,31,37,53,88,91,50,51,51,88,2,3,11,9,5,5,5,5,5,5,5,5,4,3
1167,29,86,81,86,94,48,22,22,81,67,99,75,33,81,1,3,2,2,5,5,5,5,5,3,3,3,2,3
1168,70,81,70,85,85,50,79,71,61,76,71,70,76,99,1,2,6,9,2,4,4,4,4,4,4,4,4,1
1169,100,100,50,0,0,0,100,0,0,50,90,0,0,50,1,1,11,1,1,5,1,1,1,1,2,1,3,1
1170,37,10,71,4,99,88,89,12,79,99,71,46,1,50,1,1,9,9,6,1,4,1,3,1,1,1,1,4
1171,70,52,49,53,52,0,36,20,74,50,26,51,56,60,1,3,7,9,2,4,3,5,5,4,3,4,5,2
1172,90,75,75,59,56,14,70,6,59,78,55,50,55,86,1,2,1,9,1,4,4,4,4,4,4,4,4,3
1173,40,100,99,100,99,41,72,72,69,99,98,70,98,100,1,1,4,3,6,5,5,5,5,5,5,5,5,3
1174,39,71,81,75,54,59,68,50,59,81,56,52,63,76,1,5,11,9,5,4,4,4,4,3,4,4,3,3
1175,94,94,63,100,96,1,20,1,94,16,100,89,54,100,1,3,11,3,2,5,3,5,5,5,3,5,5,3
1176,100,97,64,79,98,8,91,29,96,62,74,92,100,93,1,1,11,9,1,5,5,5,5,4,1,4,4,1
1177,0,69,90,70,0,90,0,61,50,90,11,17,1,86,1,4,9,9,7,3,4,4,4,2,4,4,1,4
1178,100,88,94,100,100,16,100,83,15,88,100,97,66,84,2,1,1,9,3,2,2,1,5,1,2,2,1,3
1179,82,50,50,50,60,41,85,55,59,50,31,50,51,70,2,1,1,9,2,5,5,5,5,5,4,5,5,3
1180,79,100,70,98,51,13,76,6,10,64,13,9,51,63,3,1,1,9,4,5,5,5,5,5,5,5,5,3
1181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,11,4,7,1,1,1,1,1,1,1,1,5
1182,66,81,76,63,86,0,82,8,7,82,78,72,69,69,2,1,11,9,4,5,5,5,5,4,4,4,5,3
1183,51,50,51,50,50,36,52,998,43,83,998,36,53,78,1,1,3,1,2,2,3,1,4,2,4,3,4,2
1184,0,50,80,10,80,80,0,99,0,100,9,1,10,80,1,5,4,9,7,3,3,3,3,2,2,2,1,5
1185,73,52,53,53,53,0,31,0,89,58,63,74,54,100,1,3,11,1,3,5,5,5,5,5,5,5,5,2
1186,70,73,57,51,77,3,83,38,53,85,28,50,60,63,1,1,10,1,3,4,3,5,4,4,2,5,4,4
1187,15,77,78,99,94,5,3,4,73,27,75,76,65,99,1,3,3,9,7,5,1,5,5,5,4,5,5,5
1188,1,51,90,55,50,75,60,50,86,56,60,6,41,70,1,3,9,2,7,3,3,2,3,5,3,3,4,3
1189,15,2,99,53,3,71,5,34,54,55,19,8,3,99,1,2,9,2,7,2,4,4,4,1,4,2,2,4
1190,75,5,100,11,20,1,100,1,100,0,41,10,0,86,1,3,11,9,3,1,4,1,1,1,4,1,1,3
1191,94,60,40,61,95,5,59,9,97,50,94,91,70,94,1,3,11,1,1,5,5,5,5,5,5,5,5,2
1192,70,100,100,100,100,21,27,22,40,100,100,100,100,100,1,5,11,9,3,5,5,5,5,5,5,5,5,3
1193,41,86,76,99,99,1,56,18,100,99,50,100,95,97,1,3,10,9,5,4,4,5,4,3,3,3,3,4
1194,98,61,57,22,54,1,71,63,45,67,81,39,19,60,1,1,3,9,1,3,3,3,3,2,1,3,4,5
1195,51,50,17,50,8,50,49,49,68,52,47,1,20,77,2,3,2,3,4,3,3,5,3,3,4,5,5,4
1196,96,91,77,93,92,1,94,19,34,72,77,79,63,90,1,1,2,1,1,4,4,4,4,4,4,4,3,2
1197,17,68,82,86,89,91,92,91,79,84,75,78,81,97,1,1,4,9,5,3,4,5,3,3,4,4,3,4
1198,71,51,50,50,61,35,26,5,95,40,51,61,50,90,1,3,11,9,2,5,5,5,5,5,5,5,5,3
1199,68,70,70,69,50,3,70,40,40,15,40,50,70,69,2,1,4,1,4,3,2,3,3,3,3,3,3,2
1200,77,67,12,100,47,18,10,54,40,43,43,57,37,50,1,5,11,9,4,3,3,3,3,3,3,3,3,5
